GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
3700106W,0,Voting District 06W,Alamance,1973,1031,483,365,41,5,48,1505,899,338,211,32,4,21,664,327,331,318,346
3700112E,0,Voting District 12E,Alamance,3391,1265,944,1048,47,22,65,2503,1085,712,622,38,19,27,897,570,321,533,364
3700112W,0,Voting District 12W,Alamance,2744,2107,353,197,33,8,46,2156,1740,243,121,21,6,25,1392,669,704,643,749
3700106N,0,Voting District 06N,Alamance,4468,1758,1444,1116,44,22,84,3167,1450,1027,623,29,18,20,1391,883,494,865,526
37001126,0,Voting District 126,Alamance,2038,1887,66,46,17,3,19,1713,1609,50,30,13,3,8,1465,530,923,524,941
37001124,0,Voting District 124,Alamance,2455,1797,327,250,19,10,52,1948,1481,276,145,14,9,23,1276,578,681,589,687
370011210,0,Voting District 1210,Alamance,2802,1715,700,246,77,6,58,2127,1404,494,145,62,5,17,1064,537,521,498,566
3700103N,0,Voting District 03N,Alamance,5712,4983,424,128,104,3,70,4955,4378,350,96,80,1,50,2760,1267,1472,1184,1576
3700102,0,Voting District 02,Alamance,4491,4250,103,66,12,19,41,3483,3321,81,40,9,17,15,2317,508,1782,586,1731
3700106E,0,Voting District 06E,Alamance,3113,1842,817,348,13,18,75,2371,1542,578,196,11,13,31,1403,702,691,696,707
3700106S,0,Voting District 06S,Alamance,3937,2905,604,270,79,23,56,3130,2368,469,186,66,17,24,1796,695,1084,725,1071
37001063,0,Voting District 063,Alamance,4940,1695,1503,1629,46,18,49,3498,1449,1037,940,36,15,21,1563,919,636,928,635
3700112N,0,Voting District 12N,Alamance,6086,1325,3170,1446,49,20,76,4530,1162,2457,823,32,18,38,2099,1818,277,1806,293
3700101,0,Voting District 01,Alamance,4869,4332,309,138,21,10,59,3686,3309,257,79,9,8,24,2009,565,1424,581,1428
37001125,0,Voting District 125,Alamance,2662,2092,284,194,52,10,30,2197,1817,201,125,34,6,14,1354,493,844,515,839
37001129,0,Voting District 129,Alamance,2042,1660,182,110,68,10,12,1630,1359,141,71,50,5,4,1003,318,675,322,681
3700103S,0,Voting District 03S,Alamance,7024,5173,926,402,349,8,166,5580,4240,729,260,268,8,75,3061,1231,1800,1175,1886
3700108S,0,Voting District 08S,Alamance,2209,1957,101,89,4,4,54,1694,1541,70,52,3,4,24,902,324,559,327,575
3700111,0,Voting District 11,Alamance,4575,2397,1641,407,4,52,74,3476,1836,1342,220,4,43,31,2053,1288,754,1305,748
3700110S,0,Voting District 10S,Alamance,8086,5545,1798,446,100,25,172,5931,4202,1310,249,73,18,79,3628,1874,1719,1796,1832
3700108N,0,Voting District 08N,Alamance,4140,3330,326,391,14,12,67,3118,2590,255,233,8,11,21,1743,700,1025,699,1044
37001064,0,Voting District 064,Alamance,5874,3921,661,1098,119,24,51,4345,3126,476,626,81,13,23,2665,1027,1607,1033,1632
37001128,0,Voting District 128,Alamance,3682,1407,1296,780,76,14,109,2757,1223,951,480,54,11,38,1061,749,302,725,336
3700103W,0,Voting District 03W,Alamance,3231,2755,262,130,37,9,38,2408,2080,198,72,30,8,20,1577,581,976,620,957
37001103,0,Voting District 103,Alamance,4209,3128,383,586,39,9,64,3146,2486,267,335,26,8,24,1634,568,1052,579,1055
3700109S,0,Voting District 09S,Alamance,6217,4684,657,708,21,42,105,4661,3664,519,386,19,33,40,2485,1024,1433,1063,1422
3700110N,0,Voting District 10N,Alamance,4386,3343,663,243,24,20,93,3292,2586,503,137,18,12,36,2307,979,1308,970,1337
3700107,0,Voting District 07,Alamance,4383,3960,185,159,16,15,48,3307,3011,149,104,15,12,16,1959,511,1434,555,1404
3700112S,0,Voting District 12S,Alamance,2684,927,931,706,39,20,61,1860,758,602,423,28,17,32,731,507,219,491,240
3700105,0,Voting District 05,Alamance,3339,3039,185,74,10,6,25,2681,2455,152,48,6,6,14,1705,399,1295,463,1242
3700113,0,Voting District 13,Alamance,5429,2891,1500,934,28,18,58,4070,2311,1178,521,22,13,25,2099,1201,893,1233,866
37001035,0,Voting District 035,Alamance,6446,5522,503,233,66,24,98,5660,4927,421,166,62,16,68,2211,897,1292,826,1384
3700104,0,Voting District 04,Alamance,5414,4702,497,142,20,11,42,4194,3642,420,88,12,9,23,2493,688,1773,777,1716
3700103C,0,Voting District 03C,Alamance,2814,2399,207,74,90,1,43,2153,1884,148,44,57,1,19,1850,591,1244,614,1236
3700109N,0,Voting District 09N,Alamance,2315,1772,393,93,8,8,41,1834,1414,329,59,8,4,20,1342,562,769,578,764
37001127,0,Voting District 127,Alamance,6951,2222,3157,1347,75,13,137,4922,1739,2325,736,52,10,60,2394,1838,545,1790,604
37003B1,0,Voting District B1,Alexander,3625,3468,20,51,39,11,36,2871,2771,14,29,29,11,17,2007,492,1486,550,1456
37003B2,0,Voting District B2,Alexander,4524,4265,36,94,73,7,49,3528,3380,24,54,52,7,11,2249,561,1654,640,1609
37003E,0,Voting District E,Alexander,3319,3073,158,48,9,3,28,2567,2399,121,26,6,3,12,1703,533,1138,641,1062
37003G1,0,Voting District G1,Alexander,1006,977,5,11,0,0,13,769,751,5,7,0,0,6,481,117,350,166,315
37003G2,0,Voting District G2,Alexander,1228,1111,55,48,4,1,9,940,857,39,35,3,1,5,618,185,419,277,341
37003L,0,Voting District L,Alexander,1447,1360,33,29,9,4,12,1133,1066,33,17,8,4,5,753,202,535,248,506
37003M,0,Voting District M,Alexander,2736,2256,185,192,55,6,42,1973,1679,138,102,35,6,13,1125,394,712,444,681
37003S1,0,Voting District S1,Alexander,3213,2776,85,304,4,7,37,2417,2153,67,172,3,7,15,1349,378,939,522,827
37003S2,0,Voting District S2,Alexander,1376,1180,81,77,4,2,32,1019,904,61,44,3,2,5,647,233,402,299,348
37003SL,0,Voting District SL,Alexander,1215,1172,2,29,6,1,5,929,905,1,17,2,1,3,628,136,483,183,445
37003T1,0,Voting District T1,Alexander,3377,2499,580,186,59,24,29,2802,2053,569,108,35,24,13,915,238,659,283,632
37003T2,0,Voting District T2,Alexander,2382,1739,306,246,15,9,67,1758,1331,246,130,12,5,34,1043,447,583,474,569
37003T3,0,Voting District T3,Alexander,1776,1619,76,44,12,2,23,1384,1293,49,23,7,1,11,865,310,542,358,507
37003T4,0,Voting District T4,Alexander,2213,1752,290,99,32,0,40,1737,1418,230,52,22,0,15,1038,430,591,469,569
37003T5,0,Voting District T5,Alexander,1430,1226,99,82,18,2,3,1092,956,74,46,12,2,2,668,204,454,216,452
37003W,0,Voting District W,Alexander,2331,2198,14,61,29,5,24,1826,1752,10,34,18,4,8,1113,285,817,330,783
3700506,0,Voting District 06,Alleghany,869,821,0,40,4,1,3,702,672,0,25,2,1,2,424,144,273,178,246
3700505,0,Voting District 05,Alleghany,858,759,9,76,8,4,2,718,647,5,56,6,2,2,409,176,220,201,208
3700501,0,Voting District 01,Alleghany,1528,1439,3,58,12,1,15,1214,1163,3,32,6,1,9,800,277,503,304,496
3700503,0,Voting District 03,Alleghany,4474,3754,102,544,26,12,36,3532,3055,71,362,21,8,15,2048,899,1105,1041,1007
3700504,0,Voting District 04,Alleghany,1991,1745,10,219,2,0,15,1567,1413,10,132,1,0,11,954,317,622,380,574
3700502,0,Voting District 02,Alleghany,375,334,4,37,0,0,0,325,288,4,33,0,0,0,194,50,140,72,122
3700507,0,Voting District 07,Alleghany,1060,1010,5,30,3,0,12,862,824,4,24,2,0,8,434,158,261,171,263
